Id,Time
1410233883712,3
1410233883715,3
1410233883719,4
1410233883722,3
1410233883725,3
1410233883727,2
1410233883730,3
1410233883731,1
1410233883732,1
1410233883733,1
1410233883734,1
1410233883735,1
1410233883736,1
1410233883737,1
1410233883739,1
1410233883740,1
1410233883741,1
1410233883742,1
1410233883744,1
1410233883745,1
1410233883747,2
1410233883748,1
1410233883750,2
1410233883751,1
1410233883752,1
1410233883753,1
1410233883754,1
1410233883755,1
1410233883756,1
1410233883757,1
1410233883758,1
1410233883759,1
1410233883760,1
1410233883762,1
1410233883763,1
1410233883764,1
1410233883765,1
1410233883766,1
1410233883767,1
1410233883768,1
1410233883769,1
1410233883770,1
1410233883771,1
1410233883772,1
1410233883773,1
1410233883774,1
1410233883775,1
1410233883776,1
1410233883777,1
1410233883778,1
1410233883779,1
1410233883780,1
1410233883781,1
1410233883783,2
1410233883784,1
1410233883785,1
1410233883786,1
1410233883787,1
1410233883788,1
1410233883789,1
1410233883790,1
1410233883791,1
1410233883792,1
1410233883793,1
1410233883794,1
1410233883795,1
1410233883797,1
1410233883798,1
1410233883799,1
1410233883800,1
1410233883801,1
1410233883802,1
1410233883803,1
1410233883804,1
1410233883805,1
1410233883806,1
1410233883807,1
1410233883808,1
1410233883809,1
1410233883810,1
1410233883811,1
1410233883812,1
1410233883813,1
1410233883814,1
1410233883816,2
1410233883816,0
1410233883817,1
1410233883819,1
1410233883820,1
1410233883821,1
1410233883822,1
1410233883823,1
1410233883824,1
1410233883826,2
1410233883827,1
1410233883828,1
1410233883829,1
1410233883830,1
1410233883831,1
1410233883832,1
1410233883834,2
1410233883835,1
1410233883836,1
1410233883837,1
1410233883838,1
1410233883839,1
1410233883840,1
1410233883841,1
1410233883842,1
1410233883843,1
1410233883844,1
1410233883845,1
1410233883846,1
1410233883847,1
1410233883848,1
1410233883849,1
1410233883850,0
1410233883851,0
1410233883853,1
1410233883854,1
1410233883855,1
1410233883856,1
1410233883857,1
1410233883858,1
1410233883859,1
1410233883860,1
1410233883861,1
1410233883862,1
1410233883863,1
1410233883864,1
1410233883866,2
1410233883868,2
1410233883869,1
1410233883870,1
1410233883871,1
1410233883872,1
1410233883873,1
1410233883874,1
1410233883875,1
1410233883876,1
1410233883877,1
1410233883879,2
1410233883880,1
1410233883881,1
1410233883881,0
1410233883883,2
1410233883884,1
1410233883885,1
1410233883886,1
1410233883887,1
1410233883888,1
1410233883889,1
1410233883890,1
1410233883891,1
1410233883892,0
1410233883894,1
1410233883894,0
1410233883896,2
1410233883897,1
1410233883898,1
1410233883899,1
1410233883900,1
1410233883901,1
1410233883902,1
1410233883903,1
1410233883904,1
1410233883905,1
1410233883906,1
1410233883907,1
1410233883908,1
1410233883909,1
1410233883910,1
1410233883911,1
1410233883912,1
1410233883913,0
1410233883915,1
1410233883916,1
1410233883917,1
1410233883918,1
1410233883919,1
1410233883920,1
1410233883921,1
1410233883922,1
1410233883923,1
1410233883924,1
1410233883925,1
1410233883926,1
1410233883927,1
1410233883928,1
1410233883929,1
1410233883930,1
1410233883931,1
1410233883932,1
1410233883934,1
1410233883935,1
1410233883936,1
